candles

open;close;high;low;value;volume;begin;end
12.1;12.11;12.11;12.1;387.21000000000004;32;2025-09-17 15:44:00;2025-09-17 15:44:59
12.08;12.08;12.08;12.08;604;50;2025-09-17 15:47:00;2025-09-17 15:47:59
12.08;12.08;12.08;12.08;930.16;77;2025-09-17 15:50:00;2025-09-17 15:50:59
12.08;12.08;12.08;12.08;2174.4;180;2025-09-17 15:51:00;2025-09-17 15:51:59
12.11;12.11;12.11;12.11;12.11;1;2025-09-17 15:54:00;2025-09-17 15:54:59
12.11;12.1;12.11;12.1;84.75;7;2025-09-17 15:56:00;2025-09-17 15:56:59
12.1;12.1;12.1;12.1;48.4;4;2025-09-17 15:57:00;2025-09-17 15:57:59
12.1;12.1;12.1;12.1;48.4;4;2025-09-17 15:58:00;2025-09-17 15:58:59
12.1;12.1;12.1;12.1;36.3;3;2025-09-17 15:59:00;2025-09-17 15:59:59
12.11;12.12;12.12;12.1;363.31;30;2025-09-17 16:01:00;2025-09-17 16:01:59
12.12;12.1;12.12;12.1;435.95;36;2025-09-17 16:02:00;2025-09-17 16:02:59
12.12;12.1;12.12;12.1;266.6;22;2025-09-17 16:03:00;2025-09-17 16:03:59
12.12;12.12;12.12;12.12;496.91999999999996;41;2025-09-17 16:04:00;2025-09-17 16:04:59
12.12;12.1;12.12;12.1;133.13;11;2025-09-17 16:05:00;2025-09-17 16:05:59
12.11;12.12;12.12;12.11;30311.34;2503;2025-09-17 16:06:00;2025-09-17 16:06:59
12.12;12.12;12.12;12.12;24.24;2;2025-09-17 16:07:00;2025-09-17 16:07:59
12.12;12.12;12.12;12.12;36.36;3;2025-09-17 16:09:00;2025-09-17 16:09:59
12.1;12.12;12.12;12.1;1429.94;118;2025-09-17 16:11:00;2025-09-17 16:11:59
12.12;12.12;12.12;12.12;72.72;6;2025-09-17 16:12:00;2025-09-17 16:12:59
12.12;12.12;12.12;12.12;290.88;24;2025-09-17 16:13:00;2025-09-17 16:13:59
12.12;12.12;12.12;12.12;12.12;1;2025-09-17 16:14:00;2025-09-17 16:14:59
12.12;12.12;12.12;12.12;12.12;1;2025-09-17 16:16:00;2025-09-17 16:16:59
12.12;12.12;12.12;12.12;24.24;2;2025-09-17 16:21:00;2025-09-17 16:21:59
12.12;12.12;12.12;12.12;1212;100;2025-09-17 16:22:00;2025-09-17 16:22:59
12.1;12.12;12.12;12.08;205472.16;17005;2025-09-17 16:23:00;2025-09-17 16:23:59
12.11;12.09;12.11;12.09;72.6;6;2025-09-17 16:24:00;2025-09-17 16:24:59
12.11;12.11;12.11;12.11;242.2;20;2025-09-17 16:25:00;2025-09-17 16:25:59
12.11;12.11;12.11;12.11;823.48;68;2025-09-17 16:27:00;2025-09-17 16:27:59
12.11;12.11;12.11;12.11;363.3;30;2025-09-17 16:28:00;2025-09-17 16:28:59
12.11;12.11;12.11;12.11;12.11;1;2025-09-17 16:29:00;2025-09-17 16:29:59
12.11;12.11;12.11;12.11;96.88;8;2025-09-17 16:30:00;2025-09-17 16:30:59
12.11;12.11;12.11;12.11;48.44;4;2025-09-17 16:32:00;2025-09-17 16:32:59
12.11;12.11;12.11;12.11;145.32;12;2025-09-17 16:33:00;2025-09-17 16:33:59
12.11;12.11;12.11;12.11;121.1;10;2025-09-17 16:34:00;2025-09-17 16:34:59
12.11;12.09;12.11;12.09;1125.49;93;2025-09-17 16:35:00;2025-09-17 16:35:59
12.09;12.09;12.09;12.09;36.27;3;2025-09-17 16:37:00;2025-09-17 16:37:59
12.11;12.11;12.11;12.11;12.11;1;2025-09-17 16:40:00;2025-09-17 16:40:59
12.11;12.11;12.11;12.11;121.1;10;2025-09-17 16:42:00;2025-09-17 16:42:59
12.11;12.11;12.11;12.11;60.55;5;2025-09-17 16:43:00;2025-09-17 16:43:59
12.09;12.09;12.09;12.09;96.72;8;2025-09-17 16:44:00;2025-09-17 16:44:59
12.11;12.11;12.11;12.11;617.61;51;2025-09-17 16:45:00;2025-09-17 16:45:59
12.11;12.11;12.11;12.11;36.33;3;2025-09-17 16:47:00;2025-09-17 16:47:59
12.11;12.11;12.11;12.11;24341.1;2010;2025-09-17 16:49:00;2025-09-17 16:49:59
12.11;12.11;12.11;12.11;36.33;3;2025-09-17 16:50:00;2025-09-17 16:50:59
12.11;12.11;12.11;12.11;72.66;6;2025-09-17 16:51:00;2025-09-17 16:51:59
12.11;12.11;12.11;12.11;242.2;20;2025-09-17 16:52:00;2025-09-17 16:52:59
12.11;12.11;12.11;12.11;351.19;29;2025-09-17 16:54:00;2025-09-17 16:54:59
12.1;12.1;12.1;12.1;217.8;18;2025-09-17 16:55:00;2025-09-17 16:55:59
12.11;12.11;12.11;12.11;48.44;4;2025-09-17 16:59:00;2025-09-17 16:59:59
12.11;12.11;12.11;12.11;181.65;15;2025-09-17 17:00:00;2025-09-17 17:00:59
12.11;12.11;12.11;12.11;12.11;1;2025-09-17 17:01:00;2025-09-17 17:01:59
12.11;12.11;12.11;12.11;21906.99;1809;2025-09-17 17:02:00;2025-09-17 17:02:59
12.1;12.1;12.1;12.1;36.3;3;2025-09-17 17:03:00;2025-09-17 17:03:59
12.1;12.11;12.11;12.1;1005.12;83;2025-09-17 17:10:00;2025-09-17 17:10:59
12.11;12.11;12.11;12.11;666.05;55;2025-09-17 17:11:00;2025-09-17 17:11:59
12.11;12.11;12.11;12.11;24.22;2;2025-09-17 17:12:00;2025-09-17 17:12:59
12.11;12.11;12.11;12.11;169.54;14;2025-09-17 17:13:00;2025-09-17 17:13:59
12.11;12.11;12.11;12.11;12.11;1;2025-09-17 17:19:00;2025-09-17 17:19:59
12.11;12.11;12.11;12.11;60.55;5;2025-09-17 17:20:00;2025-09-17 17:20:59
12.11;12.11;12.11;12.11;84.77;7;2025-09-17 17:21:00;2025-09-17 17:21:59
12.1;12.11;12.11;12.1;847.1;70;2025-09-17 17:22:00;2025-09-17 17:22:59
12.11;12.11;12.11;12.11;12.11;1;2025-09-17 17:24:00;2025-09-17 17:24:59
12.11;12.11;12.11;12.11;5485.83;453;2025-09-17 17:25:00;2025-09-17 17:25:59
12.11;12.11;12.11;12.11;36.33;3;2025-09-17 17:26:00;2025-09-17 17:26:59
12.09;12.09;12.09;12.09;24.18;2;2025-09-17 17:27:00;2025-09-17 17:27:59
12.11;12.11;12.11;12.11;339.08;28;2025-09-17 17:30:00;2025-09-17 17:30:59
12.09;12.11;12.11;12.09;3567.39;295;2025-09-17 17:31:00;2025-09-17 17:31:59
12.11;12.11;12.11;12.11;690.27;57;2025-09-17 17:32:00;2025-09-17 17:32:59
12.11;12.11;12.11;12.11;60.55;5;2025-09-17 17:33:00;2025-09-17 17:33:59
